risk_category,purpose,grade,loan_count,loan_exposure,default_rate_pct,avg_loan
High Risk,small_business,G,602,12565250.0,51.18,20929.0
High Risk,debt_consolidation,G,7594,160889575.0,51.12,21203.0
High Risk,other,G,1365,23052200.0,48.81,16892.0
High Risk,credit_card,G,864,18359325.0,47.54,21276.0
High Risk,major_purchase,F,894,16799225.0,47.53,18812.0
High Risk,debt_consolidation,F,26993,542150725.0,47.31,20108.0
High Risk,small_business,F,1337,24508100.0,43.93,18371.0
High Risk,credit_card,F,3757,77212275.0,43.64,20574.0
High Risk,home_improvement,G,740,15679850.0,42.88,21200.0
High Risk,car,F,275,3879125.0,42.59,14106.0
High Risk,house,G,302,5540125.0,42.34,18389.0
High Risk,home_improvement,F,2514,51152825.0,40.27,20376.0
High Risk,other,F,3944,55458000.0,40.07,14071.0
High Risk,small_business,E,3009,50819875.0,39.94,16976.0
High Risk,credit_card,E,15775,294371975.0,39.62,18674.0
High Risk,debt_consolidation,E,87262,1615153000.0,39.59,18521.0
High Risk,major_purchase,E,2784,44427700.0,38.93,15973.0
High Risk,moving,F,530,5809725.0,38.34,10962.0
High Risk,medical,F,575,7474500.0,37.88,13047.0
High Risk,house,F,597,9778050.0,36.44,16379.0
High Risk,home_improvement,E,8120,147714625.0,34.54,18209.0
High Risk,moving,E,1517,13539850.0,34.26,8925.0
High Risk,other,E,11556,133928125.0,34.13,11599.0
High Risk,medical,E,1919,21096625.0,32.81,11002.0
High Risk,car,E,987,11710800.0,31.83,11866.0
High Risk,vacation,E,931,6725650.0,31.7,7230.0
High Risk,house,E,1370,21278200.0,31.56,15554.0
High Risk,wedding,E,221,2568425.0,19.91,11890.0
